Day,Cases,new cases,deaths,new deaths
23/01/2020,844,256,25,25
24/01/2020,1312,468,41,16
25/01/2020,2015,703,56,15
26/01/2020,2801,786,80,24
27/01/2020,4579,1778,106,26
28/01/2020,6061,1482,132,26
29/01/2020,7816,1755,170,38
30/01/2020,9821,2005,213,43
31/01/2020,11948,2127,259,46
01/02/2020,14551,2603,304,45
02/02/2020,17387,2836,362,58
03/02/2020,20626,3239,426,64
04/02/2020,24553,3927,492,66
05/02/2020,28276,3723,565,73
06/02/2020,31481,3205,638,73
07/02/2020,34886,3405,724,86
08/02/2020,37553,2667,813,89
09/02/2020,40553,3000,910,97
10/02/2020,43099,2546,1018,108
11/02/2020,45170,2071,1115,97
12/02/2020,59283,14113,1261,146
13/02/2020,64437,5154,1383,122
14/02/2020,67100,2663,1526,143
15/02/2020,69197,2097,1669,143
16/02/2020,71329,2132,1775,106
17/02/2020,73332,2003,1873,98
18/02/2020,75198,1866,2009,136
19/02/2020,75700,502,2126,117
20/02/2020,76676,976,2247,121
21/02/2020,77673,997,2360,113
22/02/2020,78651,978,2460,100
23/02/2020,79205,554,2618,158
24/02/2020,80088,883,2699,81
25/02/2020,80828,740,2763,64
26/02/2020,81828,1000,2801,38
27/02/2020,83113,1285,2858,57
28/02/2020,84624,1511,2923,65
29/02/2020,86613,1989,2977,54
01/03/2020,88590,1977,3051,74
02/03/2020,90449,1859,3118,67
03/03/2020,93013,2564,3202,84
04/03/2020,95317,2304,3285,83
05/03/2020,98407,3090,3385,100
06/03/2020,102049,3642,3494,109
07/03/2020,106098,4049,3598,104
08/03/2020,109990,3892,3827,229
09/03/2020,114381,4391,4025,198
10/03/2020,118947,4566,4296,271
11/03/2020,126204,7257,4627,331
12/03/2020,134577,8373,4982,355
13/03/2020,145483,10906,5429,447
14/03/2020,156621,11138,5833,404
15/03/2020,169577,12956,6519,686
16/03/2020,182473,12896,7160,641
17/03/2020,198000,15527,8000,840
18/03/2020,218815,20815,8951,951
19/03/2020,244932,26117,10032,1081
20/03/2020,275592,30660,11386,1354
21/03/2020,305036,29444,13013,1627
22/03/2020,337469,32433,14647,1634
23/03/2020,378860,41391,16514,1867
24/03/2020,422629,43769,18895,2381
25/03/2020,471035,48406,21284,2389
26/03/2020,531864,60829,24073,2789
27/03/2020,596366,64502,27344,3271
28/03/2020,663124,66758,30862,3518
29/03/2020,721946,58822,33966,3104
30/03/2020,784794,62848,37788,3822
31/03/2020,858370,73576,42311,4523
01/04/2020,935197,76827,47192,4881
02/04/2020,1015065,79868,53167,5975
03/04/2020,1116662,101597,59162,5995
04/04/2020,1201473,84811,64691,5529
05/04/2020,1272900,71427,69426,4735
06/04/2020,1346036,73136,74654,5228
07/04/2020,1430981,84945,82036,7382
08/04/2020,1518023,87042,88457,6421
09/04/2020,1603694,85671,95694,7237
10/04/2020,1698881,95187,102687,6993
11/04/2020,1779842,80961,108779,6092
12/04/2020,1852365,72523,114196,5417
13/04/2020,1923937,71572,119618,5422
14/04/2020,1997906,73969,126600,6982
15/04/2020,2082418,84512,134560,7960
16/04/2020,2181308,98890,145470,10910
17/04/2020,2248863,67555,154145,8675
18/04/2020,2330793,81930,160643,6498
19/04/2020,2405771,74978,165009,4366
20/04/2020,2480503,74732,170397,5388
21/04/2020,2555760,75257,177459,7062
22/04/2020,2635716,79956,184066,6607
23/04/2020,2723044,87328,190919,6853
24/04/2020,2828617,105573,197091,6172
25/04/2020,2919404,90787,203164,6073
26/04/2020,2993262,73858,206915,3751
27/04/2020,3063008,69746,211447,4532
28/04/2020,3136508,73500,217813,6366
29/04/2020,3218184,81676,228030,10217
30/04/2020,3304220,86036,233830,5800
01/05/2020,3398473,94253,239448,5618
02/05/2020,3481351,82878,244663,5215
03/05/2020,3563689,82338,248145,3482
04/05/2020,3643271,79582,252241,4096
05/05/2020,3728518,85247,258027,5786
06/05/2020,3819843,91325,264837,6810
07/05/2020,3913644,93801,270426,5589
08/05/2020,4009291,95647,275976,5550
09/05/2020,4098288,88997,280224,4248
